city_name,date,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,co,dew,humidity,no2,o3,pm10,pm25,precipitation,pressure,so2,temperature,wind gust,wind speed
Amsterdam,2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,,89.2,11.9,21.7,13.0,32.0,,1006.9,0.2,6.6,10.6,4.3
Amsterdam,2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,,83.3,6.0,20.8,21.0,50.0,,987.1,0.2,9.5,18.9,8.9
Amsterdam,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,,83.1,5.1,27.4,9.0,19.0,,989.9,0.3,6.1,16.1,6.7
Amsterdam,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,94.0,13.4,16.4,10.0,25.0,,990.5,0.3,5.0,7.2,3.6
Amsterdam,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,,,11.7,25.2,10.0,23.0,,,0.4,,4.4,2.4
Amsterdam,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.0,72.5,14.7,15.8,16.0,33.0,,1007.7,0.2,6.6,3.8,2.5
Amsterdam,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.0,90.0,11.2,14.7,16.0,51.0,,996.5,0.2,5.9,8.9,3.5
Amsterdam,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,84.8,8.5,19.5,22.0,61.0,,1002.5,0.3,6.1,7.3,3.4
Amsterdam,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.0,81.7,10.4,22.8,15.0,33.0,,1015.8,0.4,8.7,9.0,4.5
Amsterdam,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,7.0,87.5,7.6,23.1,13.0,35.0,,1007.7,0.2,8.6,11.3,4.5
Amsterdam,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,5.0,84.5,8.0,22.5,15.0,27.0,,1011.0,0.1,8.0,10.0,4.6
Amsterdam,2020-03-10,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,2.7,9.0,93.0,6.1,21.4,10.0,25.0,,1001.9,0.1,10.6,16.8,11.5
Amsterdam,2020-03-11,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,3.0,8.0,88.2,7.6,25.1,11.0,22.0,,1009.0,0.1,11.0,10.0,5.4
Amsterdam,2020-03-12,1.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,2.7,2.5,74.0,4.1,28.1,13.0,25.0,,1007.6,0.1,8.3,20.0,9.5
Amsterdam,2020-03-13,1.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,2.8,3.5,79.3,5.9,25.8,14.0,26.0,,1015.7,0.1,7.4,14.5,6.3
Amsterdam,2020-03-14,1.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,3.4,4.0,87.6,10.6,17.0,15.0,39.0,,1019.3,0.2,8.3,9.3,3.6
Amsterdam,2020-03-15,1.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,3.4,6.5,86.6,7.1,21.7,12.0,37.0,,1012.0,0.4,10.0,10.7,4.2
Amsterdam,2020-03-16,3.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,3.3,5.0,86.5,10.4,19.2,14.0,34.0,,1022.2,0.2,8.7,4.5,1.7
Amsterdam,2020-03-17,3.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,3.5,3.0,81.0,13.8,18.0,18.0,39.0,,1027.4,0.6,8.8,9.0,4.5
Amsterdam,2020-03-18,3.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,3.1,2.5,82.0,9.9,22.1,13.0,29.0,,1024.9,0.6,11.1,12.2,5.3
Amsterdam,2020-03-19,3.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,2.7,6.5,89.0,6.4,20.9,11.0,29.0,,1026.0,0.1,8.3,9.1,4.0
Amsterdam,2020-03-20,3.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,2.7,3.5,83.0,4.3,25.0,13.0,28.0,,1028.0,0.1,7.2,12.5,6.0
Amsterdam,2020-03-21,3.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,2.6,-2.0,68.0,3.0,24.6,10.0,23.0,,1029.5,0.1,5.2,16.3,8.0
Amsterdam,2020-03-22,3.0,2.0,2.0,3.0,0.0,1.0,0.0,3.0,2.7,-4.0,58.7,2.8,26.0,8.0,23.0,,1030.9,0.2,4.4,14.0,7.0
Amsterdam,2020-03-23,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,3.1,-6.0,47.7,7.3,24.6,12.0,35.0,,1031.9,0.6,5.2,12.2,5.6
