iso_alpha_2,iso_alpha_3,country_name,date,stringency_index,government_response_index,containment_health_index
AT,AUT,Austria,2020-02-26,11.11,11.46,13.1
AT,AUT,Austria,2020-02-27,11.11,11.46,13.1
AT,AUT,Austria,2020-02-28,11.11,11.46,13.1
AT,AUT,Austria,2020-02-29,11.11,11.46,13.1
AT,AUT,Austria,2020-03-01,11.11,11.46,13.1
AT,AUT,Austria,2020-03-02,11.11,11.46,13.1
AT,AUT,Austria,2020-03-03,11.11,11.46,13.1
AT,AUT,Austria,2020-03-04,11.11,11.46,13.1
AT,AUT,Austria,2020-03-05,11.11,11.46,13.1
AT,AUT,Austria,2020-03-06,11.11,11.46,13.1
AT,AUT,Austria,2020-03-07,11.11,11.46,13.1
AT,AUT,Austria,2020-03-08,11.11,11.46,13.1
AT,AUT,Austria,2020-03-09,19.44,16.15,18.45
AT,AUT,Austria,2020-03-10,19.44,16.15,18.45
AT,AUT,Austria,2020-03-11,30.56,22.4,25.6
AT,AUT,Austria,2020-03-12,34.26,24.48,27.98
AT,AUT,Austria,2020-03-13,48.15,32.29,36.9
AT,AUT,Austria,2020-03-14,48.15,32.29,36.9
AT,AUT,Austria,2020-03-15,48.15,32.29,36.9
AT,AUT,Austria,2020-03-16,81.48,62.5,64.29
AT,AUT,Austria,2020-03-17,81.48,62.5,64.29
AT,AUT,Austria,2020-03-18,81.48,62.5,64.29
AT,AUT,Austria,2020-03-19,81.48,67.19,64.29
AT,AUT,Austria,2020-03-20,81.48,67.19,64.29
AT,AUT,Austria,2020-03-21,81.48,67.19,64.29
AT,AUT,Austria,2020-03-22,81.48,67.19,64.29
AT,AUT,Austria,2020-03-23,81.48,69.27,66.67
AT,AUT,Austria,2020-03-24,81.48,69.27,66.67
AT,AUT,Austria,2020-03-25,81.48,69.27,66.67
AT,AUT,Austria,2020-03-26,81.48,69.27,66.67
AT,AUT,Austria,2020-03-27,81.48,69.27,66.67
AT,AUT,Austria,2020-03-28,81.48,69.27,66.67
AT,AUT,Austria,2020-03-29,81.48,69.27,66.67
AT,AUT,Austria,2020-03-30,81.48,72.4,70.24
