id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
7909742a,2020-02-26,1.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,11.46,11.11,13.1,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-02-27,3.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,11.46,11.11,13.1,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-02-28,7.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,11.46,11.11,13.1,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-02-29,8.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,11.46,11.11,13.1,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-03-01,12.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,11.46,11.11,13.1,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-03-02,17.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,11.46,11.11,13.1,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-03-03,23.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,11.46,11.11,13.1,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-03-04,37.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,11.46,11.11,13.1,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-03-05,46.0,0.0,2.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,11.46,11.11,13.1,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-03-06,75.0,0.0,2.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,11.46,11.11,13.1,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
